Method:,Hadamard Simulated,,
Host Date-Time:,24/06/25 @ 14:00:00,,
Serial Number:,9999,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,07.03,,
Exposure (ms):,635,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Section,Wavelength Data,,
Scan Config Type:,Hadamard 1,,
Section 1,S,,
System Temp (C):,33.34,,
Detector Temp (C):,32.33,,
Humidity (%):,48.15,,
Exposure (ms):,1,,
Digital Resolution:,2,,
Num Repeats:,100,,
PGA Gain:,64,,
Total Measurement Time in sec:,2.300,,
Wavelength,Absorbance,Reference Signal (unitless),Sample Signal (unitless)
900,3.822,10556,18112
910,7.034,11231,19532
920,2.811,14600,17127
930,5.613,10375,16120
940,1.183,14354,17114
950,8.373,12014,17785
960,8.263,11468,17450
970,6.327,11604,18569
980,4.292,12632,17761
990,1.479,10248,18370
1000,5.824,13726,15521
1010,2.131,12894,17403
1020,3.086,13217,15240
1030,9.025,14547,19763
1040,3.148,12996,18638
1050,2.003,13591,16235
1060,4.851,14368,18736
1070,642,13345,17228
1080,259,11004,19896
1090,9.042,13235,16557
1100,1.698,10597,17560
1110,5.136,12043,16736
1120,4.275,14237,17361
1130,5.648,13175,17175
1140,5.441,14662,16509
1150,1.176,12208,19688
1160,1.538,11212,18754
1170,7.277,11987,19381
1180,6.163,12699,16762
1190,6.423,14895,16714
1200,1.758,11668,15093
1210,2.028,11531,17764
1220,6.637,11561,19423
1230,2.704,13577,18200
1240,5.383,12569,19716
1250,4.912,12103,15229
1260,4.638,13705,15500
1270,7.584,12528,15679
1280,2.188,10187,15330
1290,4.123,12702,16621
1300,6.812,14855,17247
1310,6.188,13685,15751
1320,7.853,13985,15705
1330,3.769,10773,16862
1340,2.084,11816,16755
1350,4.765,10552,18871
1360,7.238,10228,17191
1370,2.994,11674,18625
1380,4.815,11554,16996
1390,296,12696,19489
1400,7.059,11976,19670
1410,1.584,11840,19323
1420,1.413,11810,15727
1430,1.847,13846,18998
1440,7.312,13966,15201
1450,2.563,12976,19698
1460,3.675,12428,16312
1470,7.648,10921,16983
1480,232,14556,15524
1490,5.397,14678,16184
1500,8.913,10667,17616
1510,5.338,13322,15985
1520,1.421,11799,19720
1530,3.246,10967,17908
1540,8.244,13249,19439
1550,8.456,11926,19465
1560,1.625,11736,19114
1570,1.147,14082,16725
1580,8.544,13552,17476
1590,1.761,12544,16441
1600,6.867,14660,19761
1610,4.567,12448,15756
1620,2.946,14796,16759
1630,6.837,10783,15392
1640,2.779,14546,16560
1650,345,11916,16374
1660,261,13861,17014
1670,5.359,12699,19720
1680,809,10915,16118
1690,8.307,11186,18107
1700,4.078,13189,18378